Species,English,SciName,Zimmer 1913,Ford 1957,Bray 1994,GBIF 2023
210,Bobolink,Dolichonyx oryzivorus,,,X,X
211,Western Meadowlark,Sturnella neglecta,X,,X,X
212,Eastern Meadowlark,Sturnella magna,X,,X,X
213,Bullock's Oriole,Icterus bullockii,,,X,
213.5,Bullock's x Baltimore Oriole,Icterus bullockii x galbula,,,X,X
214,Baltimore Oriole,Icterus galbula,X,,X,X
215,Orchard Oriole,Icterus spurius,X,X,X,X
216,Red-winged Blackbird,Agelaius phoeniceus,X,,X,X
217,Brown-headed Cowbird,Molothrus ater,X,,X,X
218,Rusty Blackbird,Euphagus carolinus,X,,X,
219,Brewer's Blackbird,Euphagus cyanocephalus,X,,X,X
220,Common Grackle,Quiscalus quiscula,X,,X,X
221,Great-tailed Grackle,Quiscalus mexicanus,,,,X
222,Ovenbird,Seiurus aurocapilla,X,,X,X
222.5,Louisiana Waterthrush,Parkesia motacilla,,,Hypothetical,
223,Northern Waterthrush,Parkesia noveboracensis,X,,X,
224,Blue-winged Warbler,Vermivora cyanoptera,,,X,
225,Black-and-white Warbler,Mniotilta varia,X,X,X,X
226,Tennessee Warbler,Leiothlypis peregrina,X,,X,X
227,Orange-crowned Warbler,Leiothlypis celata,X,,X,X
228,Nashville Warbler,Leiothlypis ruficapilla,,,X,X
